Date,2015 Bar Earnings,Day,2016 Bar Earnings,Day2,2017 Bar Earnings,Day3,Weather,Events/Specials/Notes
7/14,824.76,Tuesday,1207.2,Thursday,,Friday,,Dirty Thursday Lemonade
7/15,1234.13,Wednesday,2154.39,Friday,,Saturday,,Happy Hour
7/16,1047.88,Thursday,1490.78,Saturday,,Sunday,,Happy Hour
7/17,2217.44,Friday,1199.12,Sunday,,Monday,,"$45 Carafe of Sangria & Salsa ""Sangria and Salsa Sundays"""
7/18,1167.87,Saturday,813.35,Monday,,Tuesday,,Justin Bieber Purpose Tour- $10 Bieber-Tini
7/19,911.01,Sunday,1321.61,Tuesday,,Wednesday,,Justin Bieber Purpose Tour- $10 Bieber-Tini
7/20,753.95,Monday,2027.48,Wednesday,,Thursday,,Billy Joel $8 Wine 5-8PM
7/21,967.46,Tuesday,1422.29,Thursday,,Friday,,Dirty Thirsty Lemonade
7/22,1297.78,Wednesday,1412.6,Friday,,Saturday,,Happy Hour
7/23,2055.66,Thursday,1954.64,Saturday,,Sunday,,Happy Hour
7/24,1346.35,Friday,910.34,Sunday,,Monday,,"$45 Carafe of Sangria & Salsa ""Sangria and Salsa Sundays"""
7/25,1312.37,Saturday,12.98,Monday,,Tuesday,,Margarita Monday $9 All Day
7/26,1376.15,Sunday,2214.61,Tuesday,,Wednesday,,Radio Head $10 Thom Colins
7/27,744.2,Monday,1630.81,Wednesday,,Thursday,,Draft Beer + Salsa $10 / 7 to Close
7/28,839.67,Tuesday,1562.61,Thursday,,Friday,,Dirty Thirsty Lemonade
7/29,767.15,Wednesday,1542.52,Friday,,Saturday,,Happy Hour
7/30,Closed,Thursday,629.7,Saturday,,Sunday,,Happy Hour
7/31,1390.91,Friday,480.33,Sunday,,Monday,,"$45 Carafe of Sangria & Salsa ""Sangria and Salsa Sundays"""
8/1,2049.03,Saturday,872.15,Monday,,,,
8/2,1143.1,Sunday,1170.42,Tuesday,,,,
8/3,885.19,Monday,1019.25,Wednesday,,,,
8/4,1306.93,Tuesday,2841.85,Thursday,,,,
8/5,1451.26,Wednesday,1798.64,Friday,,,,
8/6,1743.37,Thursday,1143.13,Saturday,,,,
8/7,1413.91,Friday,1049.33,Sunday,,,,
8/8,1508.68,Saturday,1640.14,Monday,,,,
8/9,902.22,Sunday,1824.11,Tuesday,,,,
8/10,978.1,Monday,972.34,Wednesday,,,,
8/11,Closed,Tuesday,1091.45,Thursday,,,,
8/12,1509.87,Wednesday,1994.48,Friday,,,,
8/13,1191.13,Thursday,1235.53,Saturday,,,,
8/14,1375.59,Friday,737.98,Sunday,,,,
8/15,806.73,Saturday,1036.74,Monday,,,,
8/16,787.73,Sunday,946.82,Tuesday,,,,
8/17,722.06,Monday,1397.13,Wednesday,,,,
8/18,1050.93,Tuesday,1019.88,Thursday,,,,
8/19,1109.98,Wednesday,1834.8,Friday,,,,
8/20,1484.61,Thursday,1796.8,Saturday,,,,
8/21,1291.67,Friday,620.56,Sunday,,,,
8/22,1100.37,Saturday,747.24,Monday,,,,
8/23,680.16,Sunday,1353.07,Tuesday,,,,
8/24,1046.3,Monday,1492.67,Wednesday,,,,
8/25,1231.21,Tuesday,1008.78,Thursday,,,,
8/26,1261.83,Wednesday,1688.99,Friday,,,,
8/27,2941.07,Thursday,1556.45,Saturday,,,,
8/28,1391.47,Friday,1188.42,Sunday,,,,
8/29,1118.36,Saturday,1001.76,Monday,,,,
8/30,430.77,Sunday,1935.15,Tuesday,,,,
8/31,1186,Monday,1771.45,Wednesday,,,,
9/1,1755.08,Tuesday,1213.02,Thursday,,,,
9/2,1280.2,Wednesday,1495.08,Friday,,,,
9/3,748.66,Thursday,1950.99,Saturday,,,,
9/4,1873.17,Friday,1656.26,Sunday,,,,
9/5,2660.23,Saturday,1407.9,Monday,,,,
9/6,1151.61,Sunday,1183.62,Tuesday,,,,
9/7,879.68,Monday,2174.16,Wednesday,,,,
9/8,883.79,Tuesday,4819.82,Thursday,,,,Nike Event
9/9,1013.06,Wednesday,2166.16,Friday,,,,
9/10,3945.21,Thursday,793.9,Saturday,,,,
9/11,2587.07,Friday,2702.99,Sunday,,,,
9/12,672.05,Saturday,1371.44,Monday,,,,
9/13,814.07,Sunday,927.46,Tuesday,,,,
9/14,1044.46,Monday,910.17,Wednesday,,,,
9/15,1659.05,Tuesday,2147.6,Thursday,,,,
9/16,1707.83,Wednesday,2188.04,Friday,,,,
9/17,1423.62,Thursday,2017.26,Saturday,,,,
9/18,1760.16,Friday,1050.82,Sunday,,,,
9/19,1727.41,Saturday,749.38,Monday,,,,
9/20,665,Sunday,1746.64,Tuesday,,,,
9/21,877.86,Monday,1160.65,Wednesday,,,,
9/22,723.69,Tuesday,2198.86,Thursday,,,,
9/23,971.29,Wednesday,1728.27,Friday,,,,
9/24,1521.66,Thursday,1895.93,Saturday,,,,
9/25,1766.09,Friday,1044.15,Sunday,,,,
9/26,1297.9,Saturday,1636.16,Monday,,,,
9/27,907.39,Sunday,2056.81,Tuesday,,,,
9/28,550.59,Monday,1450.01,Wednesday,,,,
9/29,1453.17,Tuesday,775.4,Thursday,,,,
9/30,408.21,Wednesday,,Friday,,,,
10/1,102.83,Thursday,1768.58,Saturday,,,,
10/2,0,Friday,944.15,Sunday,,,,
10/3,0,Saturday,1006.45,Monday,,,,
10/4,373.92,Sunday,754.17,Tuesday,,,,
10/5,1677.72,Monday,1255.04,Wednesday,,,,
10/6,18.97,Tuesday,2590.06,Thursday,,,,
10/7,416.57,Wednesday,2572.5,Friday,,,,
10/8,691.53,Thursday,638.54,Saturday,,,,
10/9,112.89,Friday,532.11,Sunday,,,,
10/10,847.23,Saturday,909.3,Monday,,,,
10/11,135.83,Sunday,745.76,Tuesday,,,,
10/12,1059.14,Monday,976.45,Wednesday,,,,
10/13,498.76,Tuesday,846.65,Thursday,,,,
10/14,561.64,Wednesday,1361.75,Friday,,,,
10/15,1072.12,Thursday,1481.18,Saturday,,,,
10/16,838.76,Friday,377.42,Sunday,,,,
10/17,197.65,Saturday,349.24,Monday,,,,
10/18,0,Sunday,2269.83,Tuesday,,,,
10/19,121.83,Monday,2368.58,Wednesday,,,,
10/20,991.52,Tuesday,1402.93,Thursday,,,,
